timestamp,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz,datetime
1747200810.975,23.51,37.61,-6.64,28.22,54.74,-49.52,185.06,109.98,148.82,-156.16,-2.27,123.1,2025-05-14 14:33:30.975
1747200810.985,23.50369370317548,37.6009910045364,-6.6706305845762595,28.211891904082755,54.776936881400786,-49.50738740635096,185.0717116941027,109.96378380816552,148.91639625146058,-156.15639640181456,-2.27,123.09909910045363,2025-05-14 14:33:30.985
1747200810.995,23.497387406350953,37.59198200907279,-6.701261169152519,28.203783808165507,54.81387376280157,-49.494774812701905,185.08342338820538,109.94756761633103,149.01279250292114,-156.15279280362913,-2.27,123.09819820090728,2025-05-14 14:33:30.995
1747200811.005,23.491080959172454,37.582972798817785,-6.73189248401952,28.195675518936007,54.85081152484707,-49.48216191834491,185.09513536153688,109.93135103787202,149.10919105264966,-156.1491891195271,-2.27,123.09729727988177,2025-05-14 14:33:31.005
1747200811.015,23.484774662347927,37.57396380335418,-6.76252306859578,28.187567423018763,54.88774840624785,-49.469549324695855,185.10684705563958,109.91513484603753,149.20558730411025,-156.14558552134167,-2.27,123.09639638033542,2025-05-14 14:33:31.015
1747200811.025,23.478468365523405,37.56495480789057,-6.793153653172039,28.17945932710152,54.924685287648636,-49.45693673104681,185.11855874974225,109.89891865420304,149.3019835555708,-156.14198192315624,-2.27,123.09549548078905,2025-05-14 14:33:31.025
1747200811.035,23.472162068698882,37.55594581242697,-6.823784237748299,28.17135123118427,54.96162216904942,-49.444324137397764,185.13027044384495,109.88270246236854,149.3983798070314,-156.1383783249708,-2.27,123.0945945812427,2025-05-14 14:33:31.035
1747200811.045,23.465855771874356,37.54693681696337,-6.854414822324559,28.163243135267027,54.998559050450204,-49.43171154374871,185.14198213794762,109.86648627053405,149.494776058492,-156.13477472678534,-2.27,123.09369368169634,2025-05-14 14:33:31.045
1747200811.055,23.459549475049833,37.53792782149976,-6.885045406900818,28.155135039349783,55.03549593185099,-49.41909895009967,185.15369383205032,109.85027007869957,149.59117230995255,-156.1311711285999,-2.27,123.09279278214997,2025-05-14 14:33:31.055
1747200811.065,23.45324317822531,37.528918826036154,-6.915675991477078,28.147026943432536,55.072432813251766,-49.40648635645062,185.165405526153,109.83405388686508,149.68756856141314,-156.12756753041447,-2.27,123.09189188260362,2025-05-14 14:33:31.065
1747200811.075,23.446936881400784,37.519909830572544,-6.946306576053337,28.138918847515292,55.10936969465255,-49.39387376280157,185.1771172202557,109.81783769503059,149.78396481287373,-156.12396393222903,-2.27,123.09099098305725,2025-05-14 14:33:31.075
1747200811.085,23.44063058457626,37.51090083510894,-6.976937160629597,28.130810751598048,55.146306576053334,-49.38126116915252,185.18882891435837,109.80162150319609,149.8803610643343,-156.12036033404357,-2.27,123.0900900835109,2025-05-14 14:33:31.085
1747200811.086,23.44,37.51,-6.98,28.13,55.15,-49.38,185.19,109.8,149.89,-156.12,-2.27,123.09,2025-05-14 14:33:31.086
1747200811.096,23.43600000953673,37.50500001192091,-6.997999957084717,28.12500001192091,55.17199994754799,-49.37200001907346,185.19699998331072,109.79100002145763,149.9469998641016,-156.11800000476836,-2.2709999976158177,123.09,2025-05-14 14:33:31.096
1747200811.106,23.43200001907346,37.50000002384182,-7.015999914169434,28.120000023841822,55.19399989509597,-49.36400003814692,185.20399996662144,109.78200004291529,150.0039997282032,-156.11600000953672,-2.2719999952316354,123.09,2025-05-14 14:33:31.106
1747200811.116,23.42800002861019,37.495000035762736,-7.033999871254152,28.115000035762733,55.21599984264396,-49.35600005722038,185.21099994993216,109.77300006437292,150.0609995923048,-156.1140000143051,-2.2729999928474527,123.09,2025-05-14 14:33:31.116
1747200811.126,23.424000038146918,37.490000047683644,-7.051999828338869,28.110000047683645,55.23799979019195,-49.348000076293836,185.21799993324288,109.76400008583056,150.1179994564064,-156.11200001907346,-2.2739999904632704,123.09,2025-05-14 14:33:31.126
1747200811.136,23.420000047683647,37.48500005960456,-7.069999785423586,28.105000059604556,55.25999973773994,-49.340000095367294,185.2249999165536,109.7550001072882,150.17499932050802,-156.11000002384182,-2.274999988079088,123.09,2025-05-14 14:33:31.136
1747200811.146,23.416000057220376,37.480000071525474,-7.087999742508303,28.10000007152547,55.28199968528792,-49.33200011444075,185.23199989986432,109.74600012874585,150.23199918460963,-156.10800002861018,-2.275999985694906,123.09,2025-05-14 14:33:31.146
1747200811.156,23.412000066757106,37.47500008344638,-7.105999699593021,28.095000083446383,55.30399963283591,-49.32400013351421,185.23899988317507,109.73700015020349,150.28899904871122,-156.10600003337856,-2.276999983310723,123.09,2025-05-14 14:33:31.156
1747200811.166,23.408000076293835,37.4700000953673,-7.1239996566777375,28.090000095367294,55.3259995803839,-49.31600015258767,185.2459998664858,109.72800017166112,150.34599891281283,-156.10400003814692,-2.2779999809265408,123.09,2025-05-14 14:33:31.166
1747200811.176,23.40399999046327,37.464999988079086,-7.142000042915283,28.084999988079087,55.34800005245201,-49.30799998092654,185.25300001668927,109.71899997854236,150.4030001358984,-156.10199999523164,-2.279000002384182,123.09,2025-05-14 14:33:31.176
1747200811.186,23.4,37.46,-7.16,28.08,55.37,-49.3,185.26,109.71,150.46,-156.1,-2.28,123.09,2025-05-14 14:33:31.186
1747200811.186,23.4,37.46,-7.16,28.08,55.37,-49.3,185.26,109.71,150.46,-156.1,-2.28,123.09,2025-05-14 14:33:31.186
