timestamp,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz,datetime
1747201050.534,23.47,37.47,-6.84,28.19,54.98,-49.43,185.12,109.88,149.74,-156.09,-2.21,123.08,2025-05-14 14:37:30.534
1747201050.544,23.465614042425926,37.464736850911116,-6.859736809083323,28.184736850911115,55.00412276665739,-49.42166668060926,185.12745612787592,109.86947370182223,149.80271919330923,-156.08780702121297,-2.2104385957574073,123.0795614042426,2025-05-14 14:37:30.544
1747201050.554,23.461228084851854,37.459473701822226,-6.879473618166646,28.17947370182223,55.02824553331479,-49.41333336121853,185.13491225575186,109.85894740364445,149.86543838661845,-156.08561404242593,-2.210877191514814,123.07912280848518,2025-05-14 14:37:30.554
1747201050.564,23.456842127277785,37.45421055273334,-6.899210427249969,28.174210552733342,55.05236829997218,-49.40500004182779,185.14236838362777,109.84842110546668,149.9281575799277,-156.0834210636389,-2.2113157872722216,123.07868421272778,2025-05-14 14:37:30.564
1747201050.574,23.452456169703712,37.44894740364445,-6.918947236333292,28.168947403644456,55.07649106662958,-49.396666722437054,185.14982451150368,109.8378948072889,149.99087677323692,-156.08122808485186,-2.211754383029629,123.07824561697036,2025-05-14 14:37:30.574
1747201050.584,23.448070107560163,37.443684129072196,-6.938684515979261,28.163684129072198,55.1006144084191,-49.388333204364315,185.15728081714772,109.82736825814439,150.05359746188967,-156.07903505378007,-2.2121929892439836,123.07780701075602,2025-05-14 14:37:30.584
1747201050.594,23.44368414998609,37.43842097998331,-6.958421325062584,28.158420979983312,55.12473717507649,-49.37999988497358,185.16473694502363,109.81684195996662,150.1163166551989,-156.07684207499304,-2.212631585001391,123.0773684149986,2025-05-14 14:37:30.594
1747201050.604,23.43929819241202,37.43315783089442,-6.978158134145907,28.153157830894425,55.14885994173389,-49.37166656558284,185.17219307289957,109.80631566178884,150.1790358485081,-156.074649096206,-2.213070180758798,123.0769298192412,2025-05-14 14:37:30.604
1747201050.614,23.43491223483795,37.42789468180554,-6.997894943229231,28.14789468180554,55.17298270839128,-49.363333246192106,185.1796492007755,109.79578936361108,150.24175504181733,-156.07245611741897,-2.213508776516205,123.07649122348379,2025-05-14 14:37:30.614
1747201050.624,23.430526277263876,37.42263153271665,-7.017631752312554,28.142631532716653,55.19710547504867,-49.35499992680137,185.1871053286514,109.7852630654333,150.30447423512655,-156.07026313863193,-2.2139473722736125,123.07605262772638,2025-05-14 14:37:30.624
1747201050.634,23.426140319689804,37.41736838362777,-7.037368561395877,28.137368383627766,55.22122824170607,-49.34666660741063,185.19456145652734,109.77473676725553,150.3671934284358,-156.0680701598449,-2.2143859680310194,123.07561403196898,2025-05-14 14:37:30.634
1747201050.644,23.421754362115735,37.41210523453888,-7.0571053704792,28.13210523453888,55.245351008363464,-49.338333288019896,185.20201758440325,109.76421046907775,150.42991262174502,-156.06587718105786,-2.2148245637884267,123.07517543621157,2025-05-14 14:37:30.644
1747201050.654,23.417368404541662,37.406842085449995,-7.076842179562523,28.126842085449994,55.26947377502086,-49.32999996862916,185.20947371227916,109.75368417089999,150.49263181505424,-156.06368420227082,-2.215263159545834,123.07473684045416,2025-05-14 14:37:30.654
1747201050.664,23.41298244696759,37.401578936361105,-7.096578988645846,28.121578936361107,55.293596541678255,-49.32166664923842,185.2169298401551,109.74315787272221,150.55535100836346,-156.06149122348378,-2.215701755303241,123.07429824469675,2025-05-14 14:37:30.664
1747201050.674,23.408596489393517,37.39631578727222,-7.116315797729169,28.11631578727222,55.317719308335654,-49.31333332984769,185.22438596803102,109.73263157454444,150.61807020167268,-156.05929824469675,-2.2161403510606483,123.07385964893935,2025-05-14 14:37:30.674
1747201050.684,23.404210531819448,37.39105263818334,-7.136052606812492,28.111052638183335,55.341842074993046,-49.30500001045695,185.23184209590693,109.72210527636668,150.68078939498193,-156.0571052659097,-2.2165789468180557,123.07342105318195,2025-05-14 14:37:30.684
1747201050.694,23.399824574245375,37.38578948909445,-7.155789415895815,28.105789489094448,55.36596484165044,-49.296666691066214,185.23929822378287,109.7115789781889,150.74350858829115,-156.05491228712268,-2.2170175425754626,123.07298245742453,2025-05-14 14:37:30.694
1747201050.704,23.395438616671303,37.38052634000557,-7.175526224979138,28.100526340005565,55.39008760830784,-49.28833337167548,185.24675435165878,109.70105268001113,150.80622778160037,-156.05271930833564,-2.21745613833287,123.07254386166713,2025-05-14 14:37:30.704
1747201050.714,23.39105265909723,37.37526319091668,-7.195263034062461,28.09526319091668,55.41421037496523,-49.28000005228474,185.2542104795347,109.69052638183335,150.8689469749096,-156.0505263295486,-2.2178947340902773,123.07210526590971,2025-05-14 14:37:30.714
1747201050.724,23.38666670152316,37.370000041827794,-7.214999843145785,28.090000041827793,55.43833314162263,-49.271666732894005,185.26166660741063,109.68000008365559,150.9316661682188,-156.04833335076157,-2.218333329847684,123.07166667015231,2025-05-14 14:37:30.724
1747201050.734,23.38228074394909,37.364736892738904,-7.234736652229108,28.084736892738906,55.46245590828002,-49.26333341350327,185.26912273528654,109.6694737854778,150.99438536152803,-156.04614037197453,-2.2187719256050915,123.07122807439491,2025-05-14 14:37:30.734
1747201050.744,23.377894786375016,37.35947374365002,-7.254473461312431,28.07947374365002,55.48657867493742,-49.25500009411253,185.27657886316246,109.65894748730004,151.05710455483728,-156.0439473931875,-2.219210521362499,123.0707894786375,2025-05-14 14:37:30.744
