timestamp,j1,j2,j3,j4,j5,j6,x,y,z,rx,ry,rz,datetime
1747200969.301,23.49,37.51,-6.75,28.19,54.87,-49.47,185.09,109.91,149.4,-156.13,-2.22,123.07,2025-05-14 14:36:09.301
1747200969.311,23.48563106897246,37.50514563219162,-6.768932034452667,28.18466019541079,54.8933009654802,-49.4622330115066,185.09728155171257,109.8998058276024,149.46019416082387,-156.1275728160958,-2.22,123.06951456321916,2025-05-14 14:36:09.311
1747200969.321,23.48126213794492,37.50029126438324,-6.787864068905334,28.179320390821573,54.91660193096041,-49.4544660230132,185.10456310342514,109.88961165520482,149.52038832164774,-156.12514563219162,-2.22,123.06902912643832,2025-05-14 14:36:09.321
1747200969.331,23.47689320691738,37.49543689657487,-6.806796103358001,28.17398058623236,54.939902896440614,-49.446699034519796,185.1118446551377,109.87941748280723,149.58058248247158,-156.12271844828743,-2.22,123.06854368965749,2025-05-14 14:36:09.331
1747200969.341,23.472524275889846,37.490582528766495,-6.825728137810668,28.168640781643145,54.96320386192082,-49.438932046026395,185.11912620685027,109.86922331040964,149.64077664329545,-156.12029126438324,-2.22,123.06805825287664,2025-05-14 14:36:09.341
1747200969.351,23.468155344862307,37.48572816095812,-6.8446601722633345,28.163300977053932,54.98650482740103,-49.43116505753299,185.12640775856283,109.85902913801205,149.70097080411932,-156.11786408047905,-2.22,123.0675728160958,2025-05-14 14:36:09.351
1747200969.361,23.463786413834768,37.48087379314974,-6.863592206716001,28.157961172464717,55.00980579288123,-49.42339806903959,185.1336893102754,109.84883496561446,149.7611649649432,-156.11543689657486,-2.22,123.06708737931497,2025-05-14 14:36:09.361
1747200969.371,23.45941748280723,37.47601942534136,-6.882524241168668,28.152621367875504,55.033106758361434,-49.415631080546184,185.14097086198797,109.83864079321687,149.82135912576706,-156.11300971267067,-2.22,123.06660194253413,2025-05-14 14:36:09.371
1747200969.381,23.45504855177969,37.471165057532986,-6.901456275621335,28.147281563286292,55.056407723841644,-49.40786409205278,185.14825241370053,109.82844662081928,149.8815532865909,-156.11058252876649,-2.22,123.0661165057533,2025-05-14 14:36:09.381
1747200969.391,23.45067962075215,37.466310689724615,-6.920388310074002,28.141941758697076,55.07970868932185,-49.40009710355938,185.15553396541307,109.81825244842169,149.94174744741477,-156.1081553448623,-2.22,123.06563106897246,2025-05-14 14:36:09.391
1747200969.401,23.446310689724612,37.46145632191624,-6.939320344526669,28.136601954107864,55.10300965480205,-49.39233011506598,185.16281551712564,109.8080582760241,150.00194160823864,-156.10572816095814,-2.22,123.06514563219162,2025-05-14 14:36:09.401
1747200969.411,23.441941758697073,37.45660195410786,-6.958252378979336,28.131262149518648,55.12631062028226,-49.38456312657258,185.1700970688382,109.79786410362651,150.0621357690625,-156.10330097705395,-2.22,123.06466019541078,2025-05-14 14:36:09.411
1747200969.421,23.437572827669538,37.45174758629948,-6.977184413432003,28.125922344929435,55.149611585762464,-49.37679613807918,185.17737862055077,109.78766993122892,150.12232992988638,-156.10087379314976,-2.22,123.06417475862995,2025-05-14 14:36:09.421
1747200969.431,23.433203896642,37.446893218491105,-6.99611644788467,28.12058254034022,55.17291255124267,-49.36902914958578,185.18466017226334,109.77747575883133,150.18252409071022,-156.09844660924557,-2.22,123.06368932184911,2025-05-14 14:36:09.431
1747200969.441,23.42883496561446,37.44203885068273,-7.0150484823373365,28.115242735751007,55.19621351672288,-49.36126216109238,185.1919417239759,109.76728158643374,150.2427182515341,-156.09601942534138,-2.22,123.06320388506828,2025-05-14 14:36:09.441
1747200969.451,23.42446603458692,37.43718448287436,-7.033980516790003,28.10990293116179,55.21951448220308,-49.353495172598976,185.19922327568847,109.75708741403615,150.30291241235795,-156.0935922414372,-2.22,123.06271844828744,2025-05-14 14:36:09.451
1747200969.461,23.42009710355938,37.43233011506598,-7.05291255124267,28.10456312657258,55.242815447683284,-49.345728184105575,185.20650482740103,109.74689324163856,150.36310657318182,-156.091165057533,-2.22,123.06223301150659,2025-05-14 14:36:09.461
1747200969.471,23.415728172531843,37.4274757472576,-7.071844585695338,28.099223321983366,55.266116413163495,-49.33796119561217,185.2137863791136,109.73669906924097,150.4233007340057,-156.08873787362882,-2.22,123.06174757472576,2025-05-14 14:36:09.471
1747200969.481,23.411359241504304,37.422621379449225,-7.090776620148005,28.09388351739415,55.2894173786437,-49.33019420711877,185.22106793082617,109.72650489684338,150.48349489482953,-156.08631068972463,-2.22,123.06126213794492,2025-05-14 14:36:09.481
1747200969.491,23.40699031047677,37.41776701164085,-7.109708654600672,28.08854371280494,55.31271834412391,-49.322427218625364,185.22834948253873,109.71631072444579,150.5436890556534,-156.08388350582044,-2.22,123.06077670116409,2025-05-14 14:36:09.491
1747200969.501,23.40262137944923,37.41291264383247,-7.128640689053339,28.083203908215722,55.33601930960411,-49.31466023013196,185.2356310342513,109.7061165520482,150.60388321647727,-156.08145632191625,-2.22,123.06029126438325,2025-05-14 14:36:09.501
1747200969.507,23.4,37.41,-7.14,28.08,55.35,-49.31,185.24,109.7,150.64,-156.08,-2.22,123.06,2025-05-14 14:36:09.507
1747200969.517,23.398224855326603,37.40763314043547,-7.14710057869358,28.078224855326603,55.35887572336698,-49.30704142554434,185.24295857445566,109.69585799576208,150.66307688075412,-156.07940828510888,-2.220591714891132,123.06,2025-05-14 14:36:09.517
1747200969.527,23.396449710653208,37.40526628087094,-7.15420115738716,28.076449710653208,55.367751446733955,-49.30408285108869,185.24591714891133,109.69171599152416,150.68615376150825,-156.07881657021775,-2.2211834297822635,123.06,2025-05-14 14:36:09.527
